Brand,Model,RAM,Storage,Camera,Battery,Processor,Price,Units Sold,Region,Channel,Year
Apple,APP-108,12GB,512GB,64MP,4500mAh,A16 Bionic,102000,11145,Karnataka,Online,2025
Apple,APP-108,12GB,512GB,64MP,4500mAh,A16 Bionic,102000,19786,Tamil Nadu,Retail,2025
Apple,APP-108,12GB,512GB,64MP,4500mAh,A16 Bionic,102000,14772,Maharashtra,Online,2025
Apple,APP-108,12GB,512GB,64MP,4500mAh,A16 Bionic,102000,3754,Uttar Pradesh,Online,2025
Apple,APP-109,6GB,64GB,200MP,4300mAh,Snapdragon 695,100000,10411,Bihar,Wholesale,2025
Apple,APP-109,6GB,64GB,200MP,4300mAh,Snapdragon 695,100000,14802,Madhya Pradesh,Online,2025
Apple,APP-109,6GB,64GB,200MP,4300mAh,Snapdragon 695,100000,8587,Tamil Nadu,Online,2025
Apple,APP-109,6GB,64GB,200MP,4300mAh,Snapdragon 695,100000,11605,West Bengal,Retail,2025
Apple,APP-109,6GB,64GB,200MP,4300mAh,Snapdragon 695,100000,3248,Delhi,Retail,2025
Apple,APP-110,12GB,512GB,108MP,4300mAh,A17 Pro,104000,3094,Tamil Nadu,Wholesale,2022
Apple,APP-110,12GB,512GB,108MP,4300mAh,A17 Pro,104000,16831,West Bengal,Wholesale,2022
Apple,APP-110,12GB,512GB,108MP,4300mAh,A17 Pro,104000,14170,Telangana,Online,2022
Apple,APP-110,12GB,512GB,108MP,4300mAh,A17 Pro,104000,8393,Bihar,Online,2022
Apple,APP-110,12GB,512GB,108MP,4300mAh,A17 Pro,104000,2768,Delhi,Wholesale,2022
Apple,APP-111,6GB,128GB,48MP,4300mAh,A16 Bionic,101500,19016,Bihar,Retail,2022
Apple,APP-111,6GB,128GB,48MP,4300mAh,A16 Bionic,101500,16817,Uttar Pradesh,Retail,2022
Apple,APP-111,6GB,128GB,48MP,4300mAh,A16 Bionic,101500,13849,Karnataka,Retail,2022
Apple,APP-111,6GB,128GB,48MP,4300mAh,A16 Bionic,101500,18414,West Bengal,Retail,2022
Apple,APP-111,6GB,128GB,48MP,4300mAh,A16 Bionic,101500,11384,Maharashtra,Online,2022
Apple,APP-112,12GB,512GB,108MP,5500mAh,Snapdragon 695,105000,10572,Bihar,Online,2023
Apple,APP-112,12GB,512GB,108MP,5500mAh,Snapdragon 695,105000,13427,Delhi,Retail,2023
Apple,APP-112,12GB,512GB,108MP,5500mAh,Snapdragon 695,105000,11181,Telangana,Online,2023
Apple,APP-112,12GB,512GB,108MP,5500mAh,Snapdragon 695,105000,7896,West Bengal,Retail,2023
Apple,APP-112,12GB,512GB,108MP,5500mAh,Snapdragon 695,105000,7659,Tamil Nadu,Wholesale,2023
Apple,APP-113,12GB,256GB,108MP,4300mAh,Snapdragon 7 Gen 1,104000,10023,Bihar,Wholesale,2023
Apple,APP-113,12GB,256GB,108MP,4300mAh,Snapdragon 7 Gen 1,104000,10529,Tamil Nadu,Online,2023
Apple,APP-113,12GB,256GB,108MP,4300mAh,Snapdragon 7 Gen 1,104000,4588,Maharashtra,Wholesale,2023
Apple,APP-113,12GB,256GB,108MP,4300mAh,Snapdragon 7 Gen 1,104000,14376,Gujarat,Online,2023
Apple,APP-113,12GB,256GB,108MP,4300mAh,Snapdragon 7 Gen 1,104000,19496,West Bengal,Retail,2023
Apple,APP-114,12GB,256GB,48MP,5500mAh,A15 Bionic,102500,13098,Bihar,Wholesale,2023
Apple,APP-114,12GB,256GB,48MP,5500mAh,A15 Bionic,102500,14639,Tamil Nadu,Online,2023
Apple,APP-114,12GB,256GB,48MP,5500mAh,A15 Bionic,102500,15682,Delhi,Online,2023
Apple,APP-114,12GB,256GB,48MP,5500mAh,A15 Bionic,102500,19993,Maharashtra,Online,2023
Apple,APP-114,12GB,256GB,48MP,5500mAh,A15 Bionic,102500,9918,West Bengal,Online,2023
Apple,APP-115,4GB,256GB,108MP,4000mAh,A15 Bionic,98500,9485,Maharashtra,Wholesale,2022
Apple,APP-115,4GB,256GB,108MP,4000mAh,A15 Bionic,98500,6703,Telangana,Wholesale,2022
Apple,APP-115,4GB,256GB,108MP,4000mAh,A15 Bionic,98500,7972,Karnataka,Wholesale,2022
Apple,APP-115,4GB,256GB,108MP,4000mAh,A15 Bionic,98500,10603,Bihar,Retail,2022
Apple,APP-115,4GB,256GB,108MP,4000mAh,A15 Bionic,98500,10991,Gujarat,Online,2022
Apple,APP-116,4GB,128GB,108MP,4500mAh,Dimensity 1080,97000,13567,Madhya Pradesh,Retail,2024
Apple,APP-116,4GB,128GB,108MP,4500mAh,Dimensity 1080,97000,10321,Delhi,Online,2024
Apple,APP-116,4GB,128GB,108MP,4500mAh,Dimensity 1080,97000,7046,Karnataka,Online,2024
Apple,APP-116,4GB,128GB,108MP,4500mAh,Dimensity 1080,97000,2261,Uttar Pradesh,Wholesale,2024
Apple,APP-116,4GB,128GB,108MP,4500mAh,Dimensity 1080,97000,11297,Tamil Nadu,Wholesale,2024
Apple,APP-117,8GB,64GB,108MP,4300mAh,Snapdragon 695,96500,17358,West Bengal,Online,2024
Apple,APP-117,8GB,64GB,108MP,4300mAh,Snapdragon 695,96500,10602,Maharashtra,Wholesale,2024
Apple,APP-117,8GB,64GB,108MP,4300mAh,Snapdragon 695,96500,16749,Telangana,Online,2024
Apple,APP-117,8GB,64GB,108MP,4300mAh,Snapdragon 695,96500,16605,Madhya Pradesh,Wholesale,2024
Apple,APP-117,8GB,64GB,108MP,4300mAh,Snapdragon 695,96500,7880,Uttar Pradesh,Online,2024
Apple,APP-118,8GB,128GB,64MP,4000mAh,Snapdragon 695,100000,6003,Madhya Pradesh,Wholesale,2022
Apple,APP-118,8GB,128GB,64MP,4000mAh,Snapdragon 695,100000,6395,Maharashtra,Online,2022
Apple,APP-118,8GB,128GB,64MP,4000mAh,Snapdragon 695,100000,17027,Karnataka,Online,2022
Apple,APP-118,8GB,128GB,64MP,4000mAh,Snapdragon 695,100000,7934,Telangana,Online,2022
Apple,APP-118,8GB,128GB,64MP,4000mAh,Snapdragon 695,100000,14903,Tamil Nadu,Wholesale,2022
Apple,APP-119,16GB,128GB,200MP,4000mAh,Snapdragon 7 Gen 1,102000,2852,Bihar,Wholesale,2023
Apple,APP-119,16GB,128GB,200MP,4000mAh,Snapdragon 7 Gen 1,102000,15102,Karnataka,Retail,2023
Apple,APP-119,16GB,128GB,200MP,4000mAh,Snapdragon 7 Gen 1,102000,16344,Telangana,Online,2023
Apple,APP-119,16GB,128GB,200MP,4000mAh,Snapdragon 7 Gen 1,102000,12030,West Bengal,Online,2023
Apple,APP-119,16GB,128GB,200MP,4000mAh,Snapdragon 7 Gen 1,102000,10124,Maharashtra,Wholesale,2023
Apple,APP-120,16GB,64GB,200MP,4000mAh,Snapdragon 695,100000,8657,Uttar Pradesh,Wholesale,2022
Apple,APP-120,16GB,64GB,200MP,4000mAh,Snapdragon 695,100000,19323,Karnataka,Retail,2022
Apple,APP-120,16GB,64GB,200MP,4000mAh,Snapdragon 695,100000,10041,Tamil Nadu,Wholesale,2022
Apple,APP-120,16GB,64GB,200MP,4000mAh,Snapdragon 695,100000,10756,Madhya Pradesh,Online,2022
Apple,APP-120,16GB,64GB,200MP,4000mAh,Snapdragon 695,100000,15989,Gujarat,Retail,2022
Apple,APP-121,16GB,128GB,64MP,4000mAh,Dimensity 1080,100000,11762,Bihar,Retail,2024
Apple,APP-121,16GB,128GB,64MP,4000mAh,Dimensity 1080,100000,19298,Uttar Pradesh,Wholesale,2024
Apple,APP-121,16GB,128GB,64MP,4000mAh,Dimensity 1080,100000,3496,Karnataka,Online,2024
Apple,APP-121,16GB,128GB,64MP,4000mAh,Dimensity 1080,100000,16077,Tamil Nadu,Online,2024
Apple,APP-121,16GB,128GB,64MP,4000mAh,Dimensity 1080,100000,4950,Madhya Pradesh,Retail,2024
Apple,APP-122,12GB,256GB,200MP,5500mAh,Dimensity 1080,101000,9188,Karnataka,Wholesale,2025
Apple,APP-122,12GB,256GB,200MP,5500mAh,Dimensity 1080,101000,10833,West Bengal,Online,2025
Apple,APP-122,12GB,256GB,200MP,5500mAh,Dimensity 1080,101000,2676,Madhya Pradesh,Online,2025
Apple,APP-122,12GB,256GB,200MP,5500mAh,Dimensity 1080,101000,2299,Tamil Nadu,Wholesale,2025
Apple,APP-122,12GB,256GB,200MP,5500mAh,Dimensity 1080,101000,16240,Gujarat,Online,2025
Apple,APP-123,16GB,128GB,48MP,4000mAh,Snapdragon 695,100000,5038,Uttar Pradesh,Retail,2025
Apple,APP-123,16GB,128GB,48MP,4000mAh,Snapdragon 695,100000,10446,Tamil Nadu,Retail,2025
Apple,APP-123,16GB,128GB,48MP,4000mAh,Snapdragon 695,100000,16301,Bihar,Wholesale,2025
Apple,APP-123,16GB,128GB,48MP,4000mAh,Snapdragon 695,100000,5124,Maharashtra,Wholesale,2025
Apple,APP-123,16GB,128GB,48MP,4000mAh,Snapdragon 695,100000,5195,West Bengal,Retail,2025
Apple,APP-124,8GB,128GB,200MP,4500mAh,Dimensity 1080,102500,9568,West Bengal,Retail,2022
Apple,APP-124,8GB,128GB,200MP,4500mAh,Dimensity 1080,102500,6311,Karnataka,Wholesale,2022
Apple,APP-124,8GB,128GB,200MP,4500mAh,Dimensity 1080,102500,7004,Delhi,Online,2022
Apple,APP-124,8GB,128GB,200MP,4500mAh,Dimensity 1080,102500,19904,Tamil Nadu,Retail,2022
Apple,APP-124,8GB,128GB,200MP,4500mAh,Dimensity 1080,102500,9894,Madhya Pradesh,Online,2022
Apple,APP-125,4GB,64GB,108MP,4000mAh,A16 Bionic,95500,19948,Gujarat,Retail,2025
Apple,APP-125,4GB,64GB,108MP,4000mAh,A16 Bionic,95500,8633,Bihar,Wholesale,2025
Apple,APP-125,4GB,64GB,108MP,4000mAh,A16 Bionic,95500,5647,Delhi,Online,2025
Apple,APP-125,4GB,64GB,108MP,4000mAh,A16 Bionic,95500,11340,Telangana,Wholesale,2025
Apple,APP-125,4GB,64GB,108MP,4000mAh,A16 Bionic,95500,5899,Uttar Pradesh,Retail,2025
Apple,APP-126,8GB,64GB,200MP,5000mAh,A15 Bionic,97500,5638,Telangana,Retail,2025
Apple,APP-126,8GB,64GB,200MP,5000mAh,A15 Bionic,97500,2779,Tamil Nadu,Retail,2025
Apple,APP-126,8GB,64GB,200MP,5000mAh,A15 Bionic,97500,10087,Gujarat,Retail,2025
Apple,APP-126,8GB,64GB,200MP,5000mAh,A15 Bionic,97500,9109,Maharashtra,Online,2025
Apple,APP-126,8GB,64GB,200MP,5000mAh,A15 Bionic,97500,9666,Uttar Pradesh,Retail,2025
Apple,APP-127,6GB,256GB,64MP,5500mAh,Dimensity 8200,97000,17648,Tamil Nadu,Online,2023
Apple,APP-127,6GB,256GB,64MP,5500mAh,Dimensity 8200,97000,17537,Maharashtra,Wholesale,2023
Apple,APP-127,6GB,256GB,64MP,5500mAh,Dimensity 8200,97000,16044,Karnataka,Retail,2023
Apple,APP-127,6GB,256GB,64MP,5500mAh,Dimensity 8200,97000,12305,Bihar,Wholesale,2023
Apple,APP-127,6GB,256GB,64MP,5500mAh,Dimensity 8200,97000,17472,Delhi,Retail,2023
Apple,APP-128,8GB,256GB,200MP,5500mAh,Dimensity 8200,99500,9837,Delhi,Retail,2025
Apple,APP-128,8GB,256GB,200MP,5500mAh,Dimensity 8200,99500,11666,Uttar Pradesh,Retail,2025
Apple,APP-128,8GB,256GB,200MP,5500mAh,Dimensity 8200,99500,4271,Madhya Pradesh,Retail,2025
Apple,APP-128,8GB,256GB,200MP,5500mAh,Dimensity 8200,99500,11451,Maharashtra,Wholesale,2025
Apple,APP-128,8GB,256GB,200MP,5500mAh,Dimensity 8200,99500,16972,Telangana,Retail,2025
Apple,APP-129,4GB,512GB,48MP,4000mAh,Dimensity 8200,103000,4049,Bihar,Wholesale,2023
Apple,APP-129,4GB,512GB,48MP,4000mAh,Dimensity 8200,103000,8267,Gujarat,Online,2023
Apple,APP-129,4GB,512GB,48MP,4000mAh,Dimensity 8200,103000,9176,Karnataka,Wholesale,2023
Apple,APP-129,4GB,512GB,48MP,4000mAh,Dimensity 8200,103000,14794,Uttar Pradesh,Retail,2023
Apple,APP-129,4GB,512GB,48MP,4000mAh,Dimensity 8200,103000,4427,Madhya Pradesh,Wholesale,2023
Apple,APP-130,6GB,64GB,200MP,5000mAh,A17 Pro,99500,15138,Maharashtra,Wholesale,2025
Apple,APP-130,6GB,64GB,200MP,5000mAh,A17 Pro,99500,5046,Uttar Pradesh,Wholesale,2025
Apple,APP-130,6GB,64GB,200MP,5000mAh,A17 Pro,99500,17171,Gujarat,Online,2025
Apple,APP-130,6GB,64GB,200MP,5000mAh,A17 Pro,99500,14246,West Bengal,Retail,2025
Apple,APP-130,6GB,64GB,200MP,5000mAh,A17 Pro,99500,2894,Karnataka,Wholesale,2025
Apple,APP-131,4GB,128GB,108MP,5000mAh,A16 Bionic,95000,18326,Uttar Pradesh,Online,2022
Apple,APP-131,4GB,128GB,108MP,5000mAh,A16 Bionic,95000,5928,Tamil Nadu,Online,2022
Apple,APP-131,4GB,128GB,108MP,5000mAh,A16 Bionic,95000,17201,Bihar,Wholesale,2022
Apple,APP-131,4GB,128GB,108MP,5000mAh,A16 Bionic,95000,17807,Maharashtra,Retail,2022
Apple,APP-131,4GB,128GB,108MP,5000mAh,A16 Bionic,95000,17898,Gujarat,Retail,2022
Apple,APP-132,4GB,64GB,108MP,5000mAh,A16 Bionic,93500,18123,Tamil Nadu,Online,2025
Apple,APP-132,4GB,64GB,108MP,5000mAh,A16 Bionic,93500,3044,Uttar Pradesh,Wholesale,2025
Apple,APP-132,4GB,64GB,108MP,5000mAh,A16 Bionic,93500,16695,Maharashtra,Wholesale,2025
Apple,APP-132,4GB,64GB,108MP,5000mAh,A16 Bionic,93500,2319,Delhi,Online,2025
Apple,APP-132,4GB,64GB,108MP,5000mAh,A16 Bionic,93500,15912,Bihar,Wholesale,2025
Apple,APP-133,8GB,128GB,108MP,4300mAh,A15 Bionic,103000,15706,Bihar,Wholesale,2022
Apple,APP-133,8GB,128GB,108MP,4300mAh,A15 Bionic,103000,14403,West Bengal,Online,2022
Apple,APP-133,8GB,128GB,108MP,4300mAh,A15 Bionic,103000,3403,Maharashtra,Online,2022
Apple,APP-133,8GB,128GB,108MP,4300mAh,A15 Bionic,103000,14798,Karnataka,Online,2022
Apple,APP-133,8GB,128GB,108MP,4300mAh,A15 Bionic,103000,19004,Gujarat,Retail,2022
Apple,APP-134,8GB,512GB,200MP,4300mAh,Dimensity 8200,104500,17648,Maharashtra,Wholesale,2025
Apple,APP-134,8GB,512GB,200MP,4300mAh,Dimensity 8200,104500,11459,Delhi,Wholesale,2025
Apple,APP-134,8GB,512GB,200MP,4300mAh,Dimensity 8200,104500,3022,Uttar Pradesh,Online,2025
Apple,APP-134,8GB,512GB,200MP,4300mAh,Dimensity 8200,104500,8451,Bihar,Online,2025
Apple,APP-134,8GB,512GB,200MP,4300mAh,Dimensity 8200,104500,15966,Karnataka,Wholesale,2025
Apple,APP-135,6GB,512GB,48MP,4500mAh,Snapdragon 8 Gen 1,104500,10174,Maharashtra,Online,2024
Apple,APP-135,6GB,512GB,48MP,4500mAh,Snapdragon 8 Gen 1,104500,10732,West Bengal,Wholesale,2024
Apple,APP-135,6GB,512GB,48MP,4500mAh,Snapdragon 8 Gen 1,104500,7304,Telangana,Online,2024
Apple,APP-135,6GB,512GB,48MP,4500mAh,Snapdragon 8 Gen 1,104500,3817,Gujarat,Wholesale,2024
Apple,APP-135,6GB,512GB,48MP,4500mAh,Snapdragon 8 Gen 1,104500,15948,Uttar Pradesh,Online,2024
Apple,APP-136,12GB,64GB,64MP,4500mAh,A15 Bionic,99500,16530,Gujarat,Retail,2024
Apple,APP-136,12GB,64GB,64MP,4500mAh,A15 Bionic,99500,17420,Telangana,Online,2024
Apple,APP-136,12GB,64GB,64MP,4500mAh,A15 Bionic,99500,9311,Uttar Pradesh,Wholesale,2024
Apple,APP-136,12GB,64GB,64MP,4500mAh,A15 Bionic,99500,14281,Maharashtra,Wholesale,2024
Apple,APP-136,12GB,64GB,64MP,4500mAh,A15 Bionic,99500,5647,Delhi,Retail,2024
Apple,APP-137,8GB,256GB,108MP,4300mAh,Snapdragon 7 Gen 1,99000,14294,Karnataka,Online,2022
Apple,APP-137,8GB,256GB,108MP,4300mAh,Snapdragon 7 Gen 1,99000,14876,Tamil Nadu,Online,2022
Apple,APP-137,8GB,256GB,108MP,4300mAh,Snapdragon 7 Gen 1,99000,14139,Delhi,Retail,2022
Apple,APP-137,8GB,256GB,108MP,4300mAh,Snapdragon 7 Gen 1,99000,9584,Madhya Pradesh,Online,2022
Apple,APP-137,8GB,256GB,108MP,4300mAh,Snapdragon 7 Gen 1,99000,6149,Telangana,Wholesale,2022
Apple,APP-138,6GB,512GB,108MP,5000mAh,A16 Bionic,99000,4943,Madhya Pradesh,Online,2022
Apple,APP-138,6GB,512GB,108MP,5000mAh,A16 Bionic,99000,12694,Telangana,Retail,2022
Apple,APP-138,6GB,512GB,108MP,5000mAh,A16 Bionic,99000,18456,Delhi,Wholesale,2022
Apple,APP-138,6GB,512GB,108MP,5000mAh,A16 Bionic,99000,17325,Uttar Pradesh,Wholesale,2022
Apple,APP-138,6GB,512GB,108MP,5000mAh,A16 Bionic,99000,4356,Gujarat,Retail,2022
Apple,APP-139,16GB,256GB,200MP,4500mAh,Snapdragon 8 Gen 1,107500,15688,Telangana,Wholesale,2024
Apple,APP-139,16GB,256GB,200MP,4500mAh,Snapdragon 8 Gen 1,107500,8216,Bihar,Online,2024
Apple,APP-139,16GB,256GB,200MP,4500mAh,Snapdragon 8 Gen 1,107500,17399,Delhi,Retail,2024
Apple,APP-139,16GB,256GB,200MP,4500mAh,Snapdragon 8 Gen 1,107500,17617,Gujarat,Online,2024
Apple,APP-139,16GB,256GB,200MP,4500mAh,Snapdragon 8 Gen 1,107500,15727,Karnataka,Wholesale,2024
Apple,APP-140,8GB,64GB,64MP,4300mAh,A16 Bionic,99000,18639,Telangana,Wholesale,2022
Apple,APP-140,8GB,64GB,64MP,4300mAh,A16 Bionic,99000,17373,Delhi,Online,2022
Apple,APP-140,8GB,64GB,64MP,4300mAh,A16 Bionic,99000,15983,Gujarat,Wholesale,2022
Apple,APP-140,8GB,64GB,64MP,4300mAh,A16 Bionic,99000,7799,Tamil Nadu,Online,2022
Apple,APP-140,8GB,64GB,64MP,4300mAh,A16 Bionic,99000,15996,Maharashtra,Wholesale,2022
Samsung,SAM-101,12GB,256GB,64MP,4300mAh,A17 Pro,56000,5378,Tamil Nadu,Retail,2024
Samsung,SAM-101,12GB,256GB,64MP,4300mAh,A17 Pro,56000,15227,West Bengal,Online,2024
Samsung,SAM-101,12GB,256GB,64MP,4300mAh,A17 Pro,56000,6353,Madhya Pradesh,Retail,2024
Samsung,SAM-101,12GB,256GB,64MP,4300mAh,A17 Pro,56000,11056,Telangana,Wholesale,2024
Samsung,SAM-101,12GB,256GB,64MP,4300mAh,A17 Pro,56000,4212,Karnataka,Wholesale,2024
Samsung,SAM-102,6GB,128GB,200MP,4300mAh,Dimensity 8200,49500,3098,Telangana,Retail,2024
Samsung,SAM-102,6GB,128GB,200MP,4300mAh,Dimensity 8200,49500,14965,Tamil Nadu,Online,2024
Samsung,SAM-102,6GB,128GB,200MP,4300mAh,Dimensity 8200,49500,14242,Delhi,Online,2024
Samsung,SAM-102,6GB,128GB,200MP,4300mAh,Dimensity 8200,49500,4705,Bihar,Online,2024
Samsung,SAM-102,6GB,128GB,200MP,4300mAh,Dimensity 8200,49500,12281,Maharashtra,Online,2024
Samsung,SAM-103,16GB,256GB,200MP,4000mAh,Snapdragon 8 Gen 2,56000,16769,Uttar Pradesh,Wholesale,2023
Samsung,SAM-103,16GB,256GB,200MP,4000mAh,Snapdragon 8 Gen 2,56000,6994,Maharashtra,Online,2023
Samsung,SAM-103,16GB,256GB,200MP,4000mAh,Snapdragon 8 Gen 2,56000,17234,Delhi,Retail,2023
Samsung,SAM-103,16GB,256GB,200MP,4000mAh,Snapdragon 8 Gen 2,56000,19860,Madhya Pradesh,Online,2023
Samsung,SAM-103,16GB,256GB,200MP,4000mAh,Snapdragon 8 Gen 2,56000,16252,Gujarat,Online,2023
Samsung,SAM-104,6GB,512GB,108MP,4500mAh,A16 Bionic,49500,7042,Karnataka,Retail,2023
Samsung,SAM-104,6GB,512GB,108MP,4500mAh,A16 Bionic,49500,12614,Gujarat,Retail,2023
Samsung,SAM-104,6GB,512GB,108MP,4500mAh,A16 Bionic,49500,3970,Madhya Pradesh,Retail,2023
Samsung,SAM-104,6GB,512GB,108MP,4500mAh,A16 Bionic,49500,11825,Uttar Pradesh,Wholesale,2023
Samsung,SAM-104,6GB,512GB,108MP,4500mAh,A16 Bionic,49500,9833,Bihar,Wholesale,2023
Samsung,SAM-105,8GB,256GB,48MP,5000mAh,Snapdragon 7 Gen 1,52000,7651,Madhya Pradesh,Wholesale,2023
Samsung,SAM-105,8GB,256GB,48MP,5000mAh,Snapdragon 7 Gen 1,52000,17473,Gujarat,Retail,2023
Samsung,SAM-105,8GB,256GB,48MP,5000mAh,Snapdragon 7 Gen 1,52000,10507,Maharashtra,Wholesale,2023
Samsung,SAM-105,8GB,256GB,48MP,5000mAh,Snapdragon 7 Gen 1,52000,6829,Telangana,Online,2023
Samsung,SAM-105,8GB,256GB,48MP,5000mAh,Snapdragon 7 Gen 1,52000,14475,Bihar,Online,2023
Samsung,SAM-106,6GB,256GB,108MP,5500mAh,Dimensity 1080,50500,9511,Maharashtra,Wholesale,2023
Samsung,SAM-106,6GB,256GB,108MP,5500mAh,Dimensity 1080,50500,12751,Karnataka,Online,2023
Samsung,SAM-106,6GB,256GB,108MP,5500mAh,Dimensity 1080,50500,15349,Bihar,Wholesale,2023
Samsung,SAM-106,6GB,256GB,108MP,5500mAh,Dimensity 1080,50500,16863,Uttar Pradesh,Retail,2023
Samsung,SAM-106,6GB,256GB,108MP,5500mAh,Dimensity 1080,50500,3052,Delhi,Wholesale,2023
Samsung,SAM-107,12GB,128GB,108MP,4000mAh,A17 Pro,52500,17320,Maharashtra,Wholesale,2023
Samsung,SAM-107,12GB,128GB,108MP,4000mAh,A17 Pro,52500,13445,Madhya Pradesh,Retail,2023
Samsung,SAM-107,12GB,128GB,108MP,4000mAh,A17 Pro,52500,13984,Gujarat,Wholesale,2023
Samsung,SAM-107,12GB,128GB,108MP,4000mAh,A17 Pro,52500,3213,West Bengal,Wholesale,2023
Samsung,SAM-107,12GB,128GB,108MP,4000mAh,A17 Pro,52500,2954,Uttar Pradesh,Retail,2023
Samsung,SAM-108,16GB,64GB,108MP,5500mAh,Snapdragon 7 Gen 1,53000,13185,Tamil Nadu,Wholesale,2022
Samsung,SAM-108,16GB,64GB,108MP,5500mAh,Snapdragon 7 Gen 1,53000,7963,Maharashtra,Wholesale,2022
Samsung,SAM-108,16GB,64GB,108MP,5500mAh,Snapdragon 7 Gen 1,53000,3096,Delhi,Online,2022
Samsung,SAM-108,16GB,64GB,108MP,5500mAh,Snapdragon 7 Gen 1,53000,9011,Karnataka,Retail,2022
Samsung,SAM-108,16GB,64GB,108MP,5500mAh,Snapdragon 7 Gen 1,53000,17342,Telangana,Retail,2022
Samsung,SAM-109,6GB,256GB,64MP,5000mAh,Snapdragon 7 Gen 1,50000,18361,Tamil Nadu,Online,2022
Samsung,SAM-109,6GB,256GB,64MP,5000mAh,Snapdragon 7 Gen 1,50000,18688,West Bengal,Wholesale,2022
